filename,title,college,level,url
Small_Animal_Specialty_Veterinary_Internship.txt,Small Animal Specialty Veterinary Internship,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/small-animal-specialty-internship-certificate/index.php
Sociology.txt,Sociology,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/sociology/index.php
Sociology_271.txt,Sociology,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/sociology/index.php
Soil_Science.txt,Soil Science,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/soil-science/index.php
Soil_Science_273.txt,Soil Science,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/soil-science/index.php
Spanish.txt,Spanish,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/spanish/index.php
Speech_Development_and_Diversity_-_Certificate.txt,Speech Development and Diversity - Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/speech-development-and-diversity/index.php
Speech-Language_Pathology.txt,Speech-Language Pathology,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/speech-language-pathology/index.php
Statistical_Methods_Certificate.txt,Statistical Methods Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/statistical-methods/index.php
Statistics.txt,Statistics,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/statistics/index.php#Programs#Programs
Statistics_279.txt,Statistics,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/statistics/index.php
Studio_Art.txt,Studio Art,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/studio-art/index.php
Studio_Art_281.txt,Studio Art,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/studio-art/index.php
Study_of_Indigenous_Storytelling_Certificate.txt,Study of Indigenous Storytelling Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/study-indigenous-storytelling/index.php
Substance_Use_and_Wellbeing_Certificate.txt,Substance Use and Wellbeing Certificate,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/substance-use-health-wellbeing/index.php
Supply_Chain_Management.txt,Supply Chain Management,Edwards School of Business,Undergraduate,https://programs.usask.ca/edwards/supply-chain-management/index.php
Sustainability.txt,Sustainability,School of Environment and Sustainability,Undergraduate,https://programs.usask.ca/sens/sustainability/index.php
Sustainability_286.txt,Sustainability,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/sustainability/index.php
